player_id,first_name,last_name,position,career_years
ThomBr01,Brandon,Thompson,DT,2012-2015
DOraJo20,Joe,D'Orazio,T,1944-1944
DaviDi00,Dick,Davis,RB,1970-1970
BracDo20,Don,Bracken,P,1985-1993
BarnDe20,Derrick,Barnes,LB,1997-1997
LaidSc00,Scott,Laidlaw,RB,1975-1980
KlinJo20,John,Klingel,DE,1987-1988
GavrMo20,Momcilo,Gavric,K,1969-1969
HollHu20,Hugo,Hollas,DB,1970-1974
HogaBr00,Brandon,Hogan,DB,2011-2011
HousKe01,Kevin,Houser,C,2000-2010
WilkBr20,Bruce,Wilkerson,T,1987-1997
SmitTr20,Travian,Smith,LB,1998-2004
ThorCe00,Cedric,Thornton,DT,2012-2016
HeimSt20,Steve,Heimkreiter,LB,1980-1980
EssiRo20,Ron,Essink,T,1980-1985
ShedEd20,Ed,Shedlosky,WB,1945-1945
JohnMi21,Mike,Johnson,DE,1984-1984
McNaJo00,Josh,McNary,LB,2013-2016
StoeEa20,Earl,Stoecklein,G,1920-1920
SmitWa20,Waddell,Smith,WR,1984-1984
WardTe00,Terron,Ward,RB,2015-2016
LeexSe99,Sean,Lee,LB,2010-2016
ClarBe21,Beryl,Clark,B,1940-1940
WarrPa00,Paris,Warren,WR,2006-2006
MackKh00,Khalil,Mack,OLB,2014-2016
AdicJo20,John,Adickes,C,1987-1989
AllePa20,Patrick,Allen,DB,1984-1990
KingEr20,Eric,King,DB,2005-2010
TaylCu99,Curtis,Taylor,DB,2009-2013
BallPa20,Pat,Ballage,DB,1986-1987
MacMRa20,Ray,MacMurray,G,1921-1921
RokiJo20,John,Rokisky,DE,1946-1948
WilsEd00,Eddie,Wilson,QB,1962-1965
TerrDa00,David,Terrell,WR,2001-2005
CallBi20,Bill,Callahan,DB,1987-1987
PopoMi20,Milt,Popovich,B,1938-1942
OrnsFr20,Fred,Orns,LB,1987-1987
HelfCo00,Cooper,Helfet,TE,2012-2015
JaroIl20,Ilia,Jarostchuk,LB,1987-1990
ElleGe20,Gene,Ellenson,T,1946-1946
HuntPa20,Patrick,Hunter,DB,1986-1995
PattQu00,Quinton,Patton,WR,2013-2016
JohnJo02,John Henry,Johnson,FB,1954-1966
YounDa20,David,Young,DB,2003-2003
StalRo20,Robert,Stallings,TE,1986-1986
ZuerGr00,Greg,Zuerlein,K,2012-2016
StepSh00,Shamar,Stephen,DT,2014-2016
AlleJa00,James,Allen,RB,1998-2002
UrenHe20,Herman,Urenda,E,1963-1963
AllmBo20,Bob,Allman,E,1936-1936
JordKe21,Kevin,Jordan,WR,1996-1996
MoorEr20,Eric,Moore,G,1988-1995
WillCl01,Clarence,Williams,RB,1977-1981
LanhCh20,Charlie,Lanham,T,1922-1923
ReisAl00,Allen,Reisner,TE,2011-2013
SchaDo20,Don,Schaefer,FB,1956-1956
SimpTr20,Travis,Simpson,C,1987-1987
AndeLa20,Larry,Anderson,DB,1978-1984
CrutBu20,Buddy,Crutchfield,DB,1998-1999
PharAr20,Art,Pharmer,B,1930-1931
GreeCu20,Curtis,Green,DE,1981-1989
CalaJe20,Jeremy,Calahan,DT,2005-2005
StroWi20,William,Strong,DB,1996-1996
FuccDo20,Dom,Fucci,DB,1955-1955
HillDa21,Dave,Hill,T,1963-1974
PageCh99,Chase,Page,DT,2007-2007
ArmsJe00,Jessie,Armstead,LB,1993-2003
LogaBe00,Bennie,Logan,DT,2013-2016
GwacOb00,Obum,Gwacham,DE,2015-2016
PirrRo20,Rocco,Pirro,G,1940-1949
KrakJo20,Joe,Kraker,G,1924-1924
BrigGr20,Greg,Briggs,DB,1995-1998
JohnEd20,Ed,Johns,G,1923-1924
DunnAn20,Anthony,Dunn,DE,2003-2003
DaneGe20,George,Daney,G,1968-1974
VannNo20,Norwood,Vann,LB,1984-1988
ElliMa20,Matt,Elliott,G,1992-1997
McClCe20,Central,McClellion,DB,2001-2001
ThomJe00,Jeff,Thomason,TE,1992-2004
RosaRu20,Rudy,Rosatti,T,1923-1928
HenlJu00,June,Henley,RB,1998-1998
QuinKe20,Kelly,Quinn,LB,1987-1987
GrubHe20,Herb,Gruber,E,1921-1923
PopeTr00,Troymaine,Pope,RB,2016-2016
BuchSt20,Steve,Buchanan,BB,1929-1929
CunnBe01,Benny,Cunningham,RB,2013-2016
HillBi20,Bill,Hill,DB,1987-1987
LorcKa20,Karl,Lorch,DE,1976-1981
raynedav01,Dave,Rayner,K,2005-2011
BradSt20,Steve,Bradley,QB,1987-1987
