Tier,Player,Position,Team,Bye,Kendall Valenzuela,Matthew Berry,Matthew Freedman,Dwain McFarland,Consensus,Last Week Difference,,ADP,Difference vs. ADP,Utilization Score
1,Jahmyr Gibbs,RB,DET,6,2,2,2,1,1,0,0,2.5,0.8,91
1,Bijan Robinson,RB,ATL,11,1,1,3,2,2,0,0,1.3,-0.5,95
1,Ja'Marr Chase,WR,CIN,6,3,4,1,4,3,0,0,2.8,-0.2,92
1,Puka Nacua,WR,LA,11,4,3,4,3,4,0,0,4.4,0.9,92
2,Jaxon Smith-Njigba,WR,SEA,11,5,5,5,6,5,0,0,5.8,0.6,92
2,Christian McCaffrey,RB,SF,8,8,6,7,5,6,0,0,5.9,-0.6,98
2,Amon-Ra St. Brown,WR,DET,6,6,7,8,7,7,0,0,9.5,2.5,88
2,Justin Jefferson,WR,MIN,6,9,8,6,9,8,0,0,12.1,4.1,73
2,CeeDee Lamb,WR,DAL,14,7,11,9,8,9,0,0,8.7,-0.1,75
2,Jonathan Taylor,RB,IND,13,10,9,13,10,10,0,0,7.3,-3.2,90
3,James Cook,RB,BUF,7,12,10,10,11,11,0,0,9.8,-1.0,76
3,De'Von Achane,RB,MIA,6,11,18,11,12,12,0,0,13.5,0.5,92
3,Kenneth Walker,RB,KC,5,14,15,17,13,13,1,1,21.1,6.4,61
3,Drake London,WR,ATL,11,13,17,12,17,14,-1,-1,16.5,1.8,83
3,Ashton Jeanty,RB,LV,13,15,12,20,14,15,0,0,13,-2.3,84
3,Saquon Barkley,RB,PHI,10,19,13,19,15,16,0,0,15.1,-1.4,83
3,Chase Brown,RB,CIN,6,16,14,25,16,17,0,0,16.7,-1.1,85
3,A.J. Brown,WR,NE,11,17,19,18,18,18,0,0,29,11.0,76
3,DeVonta Smith,WR,PHI,10,18,23,16,21,19,0,0,31.4,11.9,67
3,Nico Collins,WR,HOU,8,22,21,15,23,20,1,1,20.1,-0.2,73
3,Derrick Henry,RB,BAL,13,20,16,30,19,21,3,3,20.2,-1.1,68
3,Trey McBride,TE,ARI,14,23,24,14,27,22,-2,-2,22.4,0.4,98
3,Brock Bowers,TE,LV,13,21,25,22,20,23,-1,-1,19.8,-2.2,90
3,Omarion Hampton,RB,LAC,7,24,20,24,22,24,-1,-1,19.4,-3.1,71
3,Jeremiyah Love,RB,ARI,14,25,22,23,26,25,0,0,25.9,1.9,
3,Rashee Rice,WR,KC,5,26,27,32,24,26,0,0,34.8,7.6,79
3,Josh Allen,QB,BUF,7,29,29,26,25,27,0,0,18.5,-8.8,
3,Chris Olave,WR,NO,8,27,28,27,30,28,0,0,29.8,1.8,86
3,George Pickens,WR,DAL,14,33,26,31,29,29,0,0,22.3,-7.5,78
4,Tee Higgins,WR,CIN,6,36,35,37,33,30,2,2,35.6,0.4,67
