histi,Pick,Salary,Team,Player,Position,Dollar_Rank,Pos_Dollar_Rank
2023,2,70,Min,Justin Jefferson,WR,1,1
2023,7,69,SF,Christian McCaffrey,RB,2,1
2023,4,62,Cin,Ja'Marr Chase,WR,3,2
2023,3,61,Was,Austin Ekeler,RB,4,2
2023,9,56,Mia,Tyreek Hill,WR,5,3
2023,13,52,Hou,Nick Chubb,RB,6,3
2023,24,50,Phi,Saquon Barkley,RB,7,4
2023,8,49,Bal,Derrick Henry,RB,8,5
2023,12,49,Sea,Cooper Kupp,WR,8,4
2023,6,48,KC,Travis Kelce,TE,9,1
2023,5,47,Atl,Bijan Robinson,RB,10,6
2023,14,47,NE,Stefon Diggs,WR,10,5
2023,11,46,LAR,Davante Adams,WR,11,6
2023,23,46,Phi,A.J. Brown,WR,11,6
2023,15,44,Ten,Tony Pollard,RB,12,7
2023,21,44,GB,Josh Jacobs,RB,12,7
2023,16,43,Dal,CeeDee Lamb,WR,13,7
2023,25,42,NYJ,Garrett Wilson,WR,14,8
2023,20,41,Det,Amon-Ra St. Brown,WR,15,9
2023,124,39,Jax,Tank Bigsby,RB,16,8
2023,52,36,NE,Rhamondre Stevenson,RB,17,9
2023,45,35,LAC,Najee Harris,RB,18,10
2023,18,34,KC,Patrick Mahomes,QB,19,1
2023,33,34,Hou,Joe Mixon,RB,19,11
2023,35,33,Jax,Travis Etienne Jr.,RB,20,12
2023,134,33,Cin,Samaje Perine,RB,20,12
2023,10,32,NO,Chris Olave,WR,21,10
2023,27,32,Mia,Jaylen Waddle,WR,21,10
2023,17,30,Ind,Jonathan Taylor,RB,22,13
2023,40,29,Min,Aaron Jones Sr.,RB,23,14
2023,26,28,Phi,Jalen Hurts,QB,24,2
2023,48,28,Pit,DK Metcalf,WR,24,11
2023,39,27,Cin,Tee Higgins,WR,25,12
2023,44,26,Chi,DJ Moore,WR,26,13
2023,30,25,Buf,Josh Allen,QB,27,3
2023,38,25,Bal,Mark Andrews,TE,27,2
2023,22,24,Ten,Calvin Ridley,WR,28,14
2023,28,24,Phi,DeVonta Smith,WR,28,14
2023,31,24,Det,Jahmyr Gibbs,RB,28,15
2023,50,22,Min,T.J. Hockenson,TE,29,3
2023,51,22,Buf,Amari Cooper,WR,29,15
2023,29,21,NYJ,Breece Hall,RB,30,16
2023,49,21,NYJ,Justin Fields,QB,30,4
2023,57,21,Hou,Dameon Pierce,RB,30,16
2023,54,20,Was,Deebo Samuel,WR,31,16
2023,66,20,Dal,Miles Sanders,RB,31,17
2023,81,20,Was,Terry McLaurin,WR,31,16
2023,73,19,Mia,Alexander Mattison,RB,32,18
2023,68,18,LAC,Keenan Allen,WR,33,17
2023,60,17,Sea,Kenneth Walker III,RB,34,19
2023,64,17,Den,J.K. Dobbins,RB,34,19
2023,63,16,Ten,Tyler Lockett,WR,35,18
2023,69,16,Bal,Lamar Jackson,QB,35,5
2023,75,16,Atl,Drake London,WR,35,18
2023,80,16,Det,David Montgomery,RB,35,20
2023,100,16,TB,Rachaad White,RB,35,20
2023,61,15,Ind,Khalil Herbert,RB,36,21
2023,89,15,Bal,DeAndre Hopkins,WR,36,19
2023,74,14,NO,Cam Akers,RB,37,22
2023,72,13,Cin,Joe Burrow,QB,38,6
2023,83,13,Cle,Jerry Jeudy,WR,38,20
2023,88,13,Dal,Javonte Williams,RB,38,23
2023,108,13,Ind,Anthony Richardson Sr.,QB,38,6
2023,19,12,SF,Brandon Aiyuk,WR,39,21
2023,92,12,TB,Mike Evans,WR,39,21
2023,32,11,Ari,James Conner,RB,40,24
2023,34,11,LAC,Justin Herbert,QB,40,7
2023,55,11,Mia,Darren Waller,TE,40,4
2023,62,11,SF,George Kittle,TE,40,4
2023,84,11,TB,Chris Godwin,WR,40,22
2023,85,11,Cle,Diontae Johnson,WR,40,22
2023,42,10,Dal,Dalvin Cook,RB,41,25
2023,71,10,Atl,Kyle Pitts Sr.,TE,41,5
2023,95,10,KC,Isiah Pacheco,RB,41,25
2023,99,10,Cle,David Njoku,TE,41,5
2023,117,10,Jax,Gabe Davis,WR,41,23
2023,41,9,GB,Christian Watson,WR,42,24
2023,56,9,NO,Alvin Kamara,RB,42,26
2023,58,9,Hou,Christian Kirk,WR,42,24
2023,76,9,Ind,Michael Pittman Jr.,WR,42,24
2023,79,9,Phi,Dallas Goedert,TE,42,6
2023,86,9,Mia,Odell Beckham Jr.,WR,42,24
2023,82,8,NO,Michael Thomas,WR,43,25
2023,93,8,Pit,Mike Williams,WR,43,25
2023,78,7,Buf,James Cook,RB,44,27
2023,97,7,KC,Hollywood Brown,WR,44,26
2023,104,7,Dal,George Pickens,WR,44,26
2023,109,7,Chi,D'Andre Swift,RB,44,27
2023,43,5,Jax,Trevor Lawrence,QB,45,8
2023,67,5,Pit,Pat Freiermuth,TE,45,7
2023,70,5,NO,Jamaal Williams,RB,45,28
2023,59,4,Dal,Dallas,DEF,46,1
2023,77,4,Atl,Darnell Mooney,WR,46,27
2023,87,4,Den,Evan Engram,TE,46,8
2023,103,4,Cle,Kadarius Toney,WR,46,27
2023,105,4,Phi,Jahan Dotson,WR,46,27
2023,112,4,Phi,A.J. Dillon,RB,46,29
2023,1,3,NE,New England,DEF,47,2
2023,37,3,SF,San Francisco,DEF,47,2
2023,47,3,Mia,Miami,DEF,47,2
2023,94,3,Min,Jordan Addison,WR,47,28
2023,96,3,Det,Jameson Williams,WR,47,28
2023,98,3,Was,Brian Robinson Jr.,RB,47,30
2023,101,3,Mia,Tua Tagovailoa,QB,47,9
2023,107,3,Bal,Zay Flowers,WR,47,28
2023,116,3,Dal,Dak Prescott,QB,47,9
2023,131,3,NE,Antonio Gibson,RB,47,30
2023,144,3,Phi,Rashaad Penny,RB,47,30
2023,36,2,Buf,Buffalo,DEF,48,3
2023,53,2,Buf,Chase Claypool,WR,48,29
2023,90,2,Phi,Philadelphia,DEF,48,3
2023,106,2,NO,Brandin Cooks,WR,48,29
2023,110,2,KC,JuJu Smith-Schuster,WR,48,29
2023,111,2,Ten,Chig Okonkwo,TE,48,9
2023,114,2,Sea,Zach Charbonnet,RB,48,31
2023,115,2,LAC,Quentin Johnston,WR,48,29
2023,118,2,NYJ,Allen Lazard,WR,48,29
2023,121,2,Den,Courtland Sutton,WR,48,29
2023,122,2,NYJ,New York,DEF,48,3
2023,123,2,KC,Jerick McKinnon,RB,48,31
2023,125,2,Bal,Rashod Bateman,WR,48,29
2023,127,2,Cle,Deshaun Watson,QB,48,10
2023,130,2,Sea,Jaxon Smith-Njigba,WR,48,29
2023,132,2,Buf,Elijah Moore,WR,48,29
2023,135,2,Pit,Kenneth Gainwell,RB,48,31
2023,141,2,Ten,Treylon Burks,WR,48,29
2023,142,2,LAR,Tyler Higbee,TE,48,9
2023,143,2,LV,Geno Smith,QB,48,10
2023,148,2,LV,Jakobi Meyers,WR,48,29
2023,158,2,Was,Michael Gallup,WR,48,29
