"teamstats_offense_yearly_id","season_year","team","pass_cmp","pass_att","pass_yds","pass_int","pass_td","pass_sacked","pass_sacked_yds","exp_pts_pass","rush_att","rush_yds","rush_td","exp_pts_rush","fumbles","two_pt_md","two_pt_att","fga","fgm","drives","play_count_tip","score_pct","turnover_pct","start_avg","time_avg","points_avg"
56,2009,"ARI",392,594,4016,18,27,26,184,66.48,365,1494,16,-40.86,32,0,0,19,18,199,1004,30.7,17.1,70.1,144,1.78
45,2009,"ATL",332,570,3571,17,26,27,126,79.80,451,1876,15,-11.06,19,0,1,29,19,170,1077,35.3,13.5,69.4,169,2.02
64,2009,"BAL",321,510,3419,13,21,36,218,52.30,468,2200,22,19.07,19,0,0,30,21,183,1044,35.0,10.9,68.2,155,1.99
49,2009,"BUF",256,441,2515,19,17,46,274,-70.98,424,1867,6,-33.29,24,0,1,33,28,188,944,27.1,13.8,69.7,144,1.30
52,2009,"CAR",264,465,2799,20,16,33,271,-34.35,525,2498,18,2.15,23,2,3,27,22,193,1051,29.0,15.0,71.8,150,1.58
60,2009,"CHI",340,563,3473,27,27,35,204,-23.87,373,1492,6,-34.43,26,2,2,28,24,193,999,29.5,16.6,67.6,142,1.57
47,2009,"CIN",286,477,2890,13,21,29,244,11.94,505,2056,9,-30.48,24,2,5,28,23,177,1039,29.9,13.0,70.3,176,1.58
46,2009,"CLE",219,443,2076,18,11,30,179,-116.53,498,2087,10,-20.76,21,1,2,25,23,189,996,23.3,16.4,69.5,147,1.14
70,2009,"DAL",347,550,4287,9,26,34,196,118.92,436,2103,14,-0.72,20,1,1,31,20,179,1051,33.5,9.5,72.4,173,1.90
66,2009,"DEN",341,558,3627,13,21,34,198,24.63,440,1836,9,-32.94,15,0,2,35,30,189,1067,31.7,11.6,71.0,153,1.59
51,2009,"DET",316,585,3168,32,16,43,303,-105.84,409,1616,9,-32.24,25,1,3,28,21,194,1065,23.7,20.1,72.3,143,1.23
68,2009,"GB",357,553,4180,8,30,51,312,155.69,438,1885,20,21.84,20,3,5,36,27,191,1078,40.3,7.9,67.7,166,2.26
57,2009,"HOU",399,593,4654,17,29,25,149,140.88,425,1475,13,-60.27,21,1,2,32,21,187,1075,33.7,15.0,69.8,164,1.91
54,2009,"IND",402,601,4515,19,34,13,90,219.90,366,1294,16,-41.43,11,0,2,20,16,174,1001,37.9,13.2,72.0,153,2.29
59,2009,"JAX",315,519,3356,10,15,44,243,-4.19,447,2029,19,27.38,26,1,2,28,18,176,1038,29.5,12.5,71.5,166,1.66
65,2009,"KC",296,536,2922,17,18,45,261,-65.42,438,1929,8,-44.25,31,1,2,29,25,202,1048,25.2,12.4,71.5,133,1.27
62,2009,"MIA",331,545,3170,19,15,34,226,1.17,509,2231,22,21.26,27,1,3,28,25,181,1116,34.3,15.5,71.6,170,1.85
69,2009,"MIN",377,553,4156,7,34,34,247,214.74,467,1918,19,-65.49,19,0,1,28,26,188,1082,42.0,9.0,67.5,168,2.39
41,2009,"NE",390,592,4436,13,28,18,104,127.39,466,1921,19,-9.88,17,1,3,31,26,178,1107,41.0,12.4,70.0,178,2.29
39,2009,"NO",378,544,4355,12,34,20,135,188.33,468,2106,21,-12.64,25,0,1,28,22,185,1060,41.6,13.5,68.6,164,2.44
50,2009,"NYG",338,542,4019,14,28,32,227,110.92,443,1837,14,-34.65,30,0,1,32,27,183,1049,37.7,15.3,69.5,166,2.05
63,2009,"NYJ",210,393,2380,21,12,30,216,-38.37,607,2756,21,-4.45,24,2,5,36,30,198,1066,31.8,15.2,67.6,156,1.62
48,2009,"OAK",255,485,2557,18,10,49,318,-140.21,410,1701,7,-30.32,30,0,0,29,26,194,973,22.2,16.5,72.9,140,1.02
43,2009,"PHI",335,553,4089,13,27,38,291,56.49,384,1637,14,-2.51,23,2,2,37,32,192,1012,38.0,10.4,69.4,141,1.99
40,2009,"PIT",351,536,4148,14,28,50,348,99.35,428,1793,10,-31.47,21,0,0,31,27,183,1045,35.5,12.6,70.5,172,1.90
61,2009,"SD",338,519,4338,10,29,26,168,221.49,427,1423,17,-54.28,14,0,0,35,32,170,1007,45.9,9.4,69.2,169,2.46
55,2009,"SEA",372,609,3503,19,20,41,268,-31.13,395,1566,7,-41.72,33,0,2,26,24,194,1071,26.3,15.5,71.6,136,1.35
53,2009,"SF",312,528,3052,14,23,40,241,-23.90,371,1600,12,-24.01,24,0,0,24,19,196,963,27.6,10.2,70.9,146,1.54
44,2009,"STL",312,543,2686,21,12,44,284,-129.88,411,1784,4,-34.48,24,0,1,24,19,181,1022,19.3,16.6,71.9,155,0.93
42,2009,"TB",279,524,2973,29,18,33,161,-88.21,404,1627,5,-51.85,25,2,4,26,16,194,987,20.1,17.5,69.6,142,1.08
58,2009,"TEN",271,476,3031,15,16,15,73,20.14,499,2592,19,16.97,27,1,2,32,27,187,1022,33.2,15.0,72.9,147,1.74
67,2009,"WAS",340,533,3490,16,21,46,307,6.25,391,1510,8,-38.59,30,0,1,25,22,172,995,29.7,13.4,71.3,162,1.56
88,2010,"ARI",285,561,2921,19,10,50,343,-140.71,320,1388,9,-23.61,33,1,2,27,24,190,958,23.7,15.8,70.3,133,1.15
77,2010,"ATL",361,577,3567,9,28,23,158,118.37,497,1891,14,-27.41,12,2,3,31,28,178,1128,39.3,9.0,68.9,177,2.12
96,2010,"BAL",308,491,3335,10,25,40,294,89.23,487,1831,11,-54.86,22,0,0,29,26,189,1047,32.8,9.5,70.2,159,1.75
81,2010,"BUF",296,519,3158,21,24,34,213,-43.29,401,1720,6,-31.93,33,0,2,21,16,182,975,25.3,19.2,70.8,151,1.42
84,2010,"CAR",256,484,2289,21,9,50,346,-143.05,428,1846,7,-66.92,31,0,0,29,25,197,991,20.8,17.8,71.3,134,0.95
92,2010,"CHI",276,466,3015,21,23,56,382,-35.91,414,1616,10,-44.87,19,1,2,30,25,198,966,29.3,15.7,66.3,143,1.55
79,2010,"CIN",365,590,3767,20,26,28,221,49.80,428,1522,8,-81.08,21,2,4,31,24,190,1077,30.5,16.3,68.8,158,1.63
